ID;name;Age;Gender;Color1;Color2;Size;Breed;Date_found;Adoptable_from;Posted;Coat;Neutered;HouseBroker;likes_people;likes_children;get_along_males;get_along_females;get_along_cats;keep_in;;;;;;;;;;;;;;;;;;;;;;;
23807;Gida;0.25;female;red;;small;Unknown Mix;12/10/2019;12/11/2019;12/11/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
533;Frida És Ricsi;0.17;female;black;white;small;Unknown Mix;12/01/2019;12/01/2019;12/09/2019;short;no;;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;
23793;;4;male;saddle black;;medium;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23795;;1;male;yellow;brown;medium;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23806;Amy;2;female;black;;small;French Bulldog Mix;12/10/2019;12/11/2019;12/11/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23801;Alex;4.25;male;yellow;brown;small;Unknown Mix;12/09/2019;12/24/2019;12/09/2019;short;yes;;;;;;;;;;QUESTION 2;;;;;;;;;;;;;;;;;;;;
534;Ricsi És Frida;0.17;male;brown;;small;Unknown Mix;12/01/2019;12/01/2019;12/09/2019;short;no;;yes;yes;yes;yes;yes;;;;Nbr chien sans nom;92;2845;;;;;;;;;;;;;;;;;;
23805;;0.17;female;gray;white;medium;Unknown Mix;12/10/2019;12/25/2019;12/11/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23809;;0.17;female;black;;medium;Unknown Mix;12/11/2019;12/26/2019;12/12/2019;medium;no;;;;;;;;;;QUESTION 4;;;;Color1;;;;;;;;;;;;;;;;
1801;Újhartyáni Mazsi;0.17;female;brown;white;small;Unknown Mix;12/10/2019;12/10/2019;12/11/2019;short;no;;yes;yes;yes;yes;yes;flat;;;Nbr de chien rouge;67;;;red;;;;;;;;;;;;;;;;
1222;Vasi;3.67;male;red;;medium;Vizsla Mix;10/25/2019;10/25/2019;12/12/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23792;;1;male;saddle black;;medium;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;medium;no;;;;;;;;;;QUESTION 3;1;;;Size;get_along_cats;;;;;;;;;;;;;;;
23797;;5;female;brown;;small;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;long;no;;;;;;;;;;Nbr chien grand taille cohabite chat;47;;;large;yes;;;;;;;;;;;;;;;
1800;Újhartyáni Frenki;0.17;male;tricolor;;small;Unknown Mix;12/10/2019;12/10/2019;12/11/2019;short;no;;yes;yes;yes;yes;yes;flat;;;;;;;;;;;;;;;;;;;;;;;
532;Fickó;1.5;male;brown;white;medium;Bull Terrier, Dachshund Mix;12/01/2019;12/01/2019;12/09/2019;short;yes;;yes;yes;no;no;no;;;;QUESTION 5;ID;name;Age;Gender;Color1;Color2;Size;Breed;Date_found;Adoptable_from;Posted;Coat;Neutered;HouseBroker;likes_people;likes_children;get_along_males;get_along_females;get_along_cats;keep_in
